src,dst,proto,size,sport,dport
10.1.17.215,23.205.110.137,6,60,50102.0,443.0
23.205.110.137,10.1.17.215,6,1430,443.0,50102.0
23.205.110.137,10.1.17.215,6,295,443.0,50102.0
10.1.17.215,23.205.110.137,6,60,50102.0,443.0
10.1.17.215,23.205.110.137,6,134,50102.0,443.0
10.1.17.215,23.205.110.137,6,134,50102.0,443.0
10.1.17.215,23.205.110.137,6,586,50102.0,443.0
204.79.197.203,10.1.17.215,6,60,443.0,50101.0
10.1.17.2,10.1.17.215,17,263,53.0,53533.0
10.1.17.215,52.109.20.47,6,66,50103.0,443.0
23.205.110.137,10.1.17.215,6,60,443.0,50102.0
23.205.110.137,10.1.17.215,6,60,443.0,50102.0
23.205.110.137,10.1.17.215,6,60,443.0,50102.0
23.205.110.137,10.1.17.215,6,341,443.0,50102.0
23.205.110.137,10.1.17.215,6,341,443.0,50102.0
10.1.17.215,23.205.110.137,6,60,50102.0,443.0
10.1.17.215,23.205.110.137,6,60,50102.0,443.0
23.205.110.137,10.1.17.215,6,115,443.0,50102.0
10.1.17.215,23.205.110.137,6,60,50102.0,443.0
23.205.110.137,10.1.17.215,6,85,443.0,50102.0
10.1.17.215,23.205.110.137,6,85,50102.0,443.0
10.1.17.215,23.205.110.137,6,60,50102.0,443.0
52.109.20.47,10.1.17.215,6,66,443.0,50103.0
10.1.17.215,52.109.20.47,6,60,50103.0,443.0
10.1.17.215,52.109.20.47,6,516,50103.0,443.0
52.109.20.47,10.1.17.215,6,1430,443.0,50103.0
52.109.20.47,10.1.17.215,6,1430,443.0,50103.0
10.1.17.215,52.109.20.47,6,60,50103.0,443.0
52.109.20.47,10.1.17.215,6,1430,443.0,50103.0
52.109.20.47,10.1.17.215,6,340,443.0,50103.0
10.1.17.215,52.109.20.47,6,60,50103.0,443.0
10.1.17.215,52.109.20.47,6,60,50103.0,443.0
10.1.17.215,52.109.20.47,6,60,50103.0,443.0
10.1.17.215,52.109.20.47,6,212,50103.0,443.0
10.1.17.215,52.109.20.47,6,141,50103.0,443.0
23.205.110.137,10.1.17.215,6,60,443.0,50102.0
23.205.110.137,10.1.17.215,6,727,443.0,50102.0
10.1.17.215,23.205.110.137,6,60,50102.0,443.0
23.205.110.137,10.1.17.215,6,1430,443.0,50102.0
10.1.17.215,23.205.110.137,6,60,50102.0,443.0
